params_str,auuc_mean,auuc_std,qini_mean,qini_std,uplift_at_k_5_mean,uplift_at_k_5_std,uplift_at_k_10_mean,uplift_at_k_10_std,uplift_at_k_20_mean,uplift_at_k_20_std
alpha=0.001,0.03364943629951661,0.01622559753301824,0.32656509592173294,0.27453368478527557,0.07755291883881624,0.056254678603341636,0.06420557770025623,0.05103412702744668,0.05522067438485882,0.031009784533365076
alpha=0.01,0.0336345801721073,0.016208811939195357,0.32647876977084744,0.274498674121168,0.07755291883881624,0.056254678603341636,0.06420557770025623,0.05103412702744668,0.05522067438485882,0.031009784533365076
alpha=0.1,0.033577564195663254,0.016246236756305012,0.3260132120675563,0.2743173259514259,0.07755291883881624,0.056254678603341636,0.06420557770025623,0.05103412702744668,0.05522067438485882,0.031009784533365076
alpha=1.0,0.033452667406001724,0.015917743544547055,0.3239321222943934,0.2729174156089212,0.07546913250845456,0.05543912775833522,0.06189622084216047,0.05240614053346104,0.055489444764390904,0.030142752338742303
alpha=10,0.03305888809358736,0.01658943979939177,0.3099482337509566,0.26649432269845313,0.06428707415310311,0.051728597129365596,0.05864661806939098,0.05381734583316747,0.05465315213239402,0.03401844328778713
alpha=100,0.028343380140148616,0.018450002891325843,0.21966587463422843,0.24973766464853514,0.05802650343826814,0.11388436069081019,0.052302349461448704,0.06272802544181304,0.04753444152200027,0.03821057811245409
alpha=1000,0.01994195077865538,0.020099612355634438,0.132893336899948,0.2817854749346172,0.056762779921401704,0.13084410476504826,0.025204870272724705,0.046886755362594706,0.021776567071552573,0.037110798214350774
